Código,Supermercado,Endereço
1,Super Mauge,"Av. Americano do Brasil, Qd 02 - Lt 1 - Vila Rizzo, Goiânia - GO, 74390-663"
2,Supermercado Royal,"R. 610, Número 589 - Aeroviario, Goiânia - GO, 74435-280"
3,Supermercado Goiânia,"R. U 82, 486 - Setor União, Goiânia - GO, 74313-740"
4,Supermercado Tatico Centro,"Av. Contorno, 325 - Quadra 102 - St. Central, Goiânia - GO, 74055-140"
5,Supermercados Bretas Armazém,"Rua T-55, 611, Qd. 104 Lt.01 E - St. Bueno, Goiânia - GO, 74215-170"
6,Carrefour Hipermercado,"Av. T-9, 3874 - Vila Bela, Goiânia - GO, 74310-320"
7,Assaí Atacadista,"Av. Perimetral Norte, 2609 - St. Vila João Vaz, Goiânia - GO, 74465-510"
8,Assaí Atacadista 2,"Av. Padre Orlando de Morais, s/n - Parque Amazonia, Goiânia - GO, 74843-200"
9,Supermercado Central Papillon,"Rua L-3 Esq, R. L-11 - Papillon Park, Aparecida de Goiânia - GO, 74950-130"
10,Supermarket Santa Genoveva,"Av. São Francisco, 1003 - S - Santa Genoveva, Goiânia - GO, 74672-010"